"id","question","answer","wrong_answers","explanation","category","difficulty","milestones","mode","challenge_type","status","tags","source","source_page","revision_notes","favorite","confidence","created_at","updated_at"
"SOCLE-QUIZ-001","Quelle est la traduction anglaise de l’acronyme français « CMJN » utilisé en impression ?","CMYK","RGBK | CYMK","","Culture graphique","Difficile","4","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-002","En typographie, à quoi correspond le terme anglais « leading » ?","L’interlignage","L'interlettrage | L’approche","","Culture graphique","Difficile","4","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-003","Comment traduit-on « traits de coupe » en anglais dans le vocabulaire d’impression ?","crop marks","Trimming guides | Cut points","","Culture graphique","Difficile","4","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-004","Comment traduit-on le mot « échelle » (dans le sens de redimensionnement) en anglais dans les logiciels de design ?","Scale","Resize | Stretch","","Culture graphique","Facile","2","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-005","Comment traduit-on le terme « dégradé » en anglais dans le domaine du design graphique ?","Gradient","Blend | Overlay","","Culture graphique","Facile","2","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-006","En typographie, que signifie le terme anglais « serif » ?","Un empattement","Une variation de graisse | Une ligature décorative","","Culture graphique","Facile","2","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-007","Comment traduit-on le mot « interlettrage » en anglais, dans un logiciel de design ?","Letter Spacing","Kerning | Tracking","","Culture graphique","Facile","2","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-008","Quel mot anglais correspond à la notion de « teinte » en théorie des couleurs ?","Hue","Saturation | Tint","","Culture graphique","Facile","2","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-009","Quel est le terme anglais pour désigner un masque utilisé pour limiter la visibilité d’un calque à la forme d’un autre ?","Clipping mask","Layer mask | Crop mask","","Culture graphique","Facile","2","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-010","Quel terme anglais désigne le système standardisé de couleurs utilisé dans l’impression ?","Pantone","RGB swatch | CMYK palette","","Culture graphique","Facile","2","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-011","Quel est le terme anglais correspondant à la propriété qui définit la transparence d’un calque ou d’un objet ?","Opacity","Fill | Transparency","","Culture graphique","Facile","2","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-012","Comment s’appelle l’espace entre deux colonnes de texte au sein d’une mise en page ?","Gouttière","Intercolonne | Marges","","Culture graphique","Facile","2","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-013","Comment appelle-t-on la première lettre d’un paragraphe qui a une forme particulière et s’étend sur au moins deux lignes ?","Lettrine","Capitale | Cesure","","Culture graphique","Facile","2","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-014","Quel mot désigne l’organisation visuelle des éléments dans une mise en page pour guider le lecteur sur l’importance de chaque partie ?","Hiérarchie","Contraste | Composition","","Culture graphique","Facile","2","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-015","Quel mouvement artistique et pédagogique s’étend de 1919 à 1933 ?","Bauhaus","Le Stijl | Arts & Crafts","","Culture graphique","Facile","2","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-016","À quel mouvement appartient Andy Warhol ?","Pop art","Minimalisme | Surréalisme","","Culture graphique","Facile","2","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-017","Piet Mondrian appartient à quel mouvement artistique ?","Le Stijl","Cubisme | Constructivisme","","Culture graphique","Facile","2","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-018","Quel mouvement est célèbre pour ses formes organiques, ses courbes inspirées de la nature et son esthétique décorative autour de 1900 ?","Art nouveau","Constructivisme | Bauhaus","","Culture graphique","Facile","2","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-019","Quel mouvement graphique est notamment caractérisé par l’usage de grilles strictes, de typographies sans serif et d’une mise en page objective ?","Style international","Postmodernisme | Dadaïsme","","Culture graphique","Facile","2","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-020","En quelle année débute officiellement le mouvement du Bauhaus ?","1919","1930 | 1914","","Culture graphique","Difficile","4","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-021","Quel mouvement artistique et architectural précède l’émergence du Bauhaus ?","Modernisme","Art déco | Style international","","Culture graphique","Difficile","4","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-022","Quel mouvement graphique domine entre les années 1950 et 1970 ?","Style international / Suisse","Pop Art | Futurisme","","Culture graphique","Difficile","4","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-023","Quelles caractéristiques définissent le style graphique du Bauhaus ?","Typographies sans serif, Compositions géométriques, Grilles","Motifs floraux, couleurs pastel, inspiration artisanale | Illustrations baroques, textures chargées, ombres complexes","","Culture graphique","Difficile","4","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-024","Dans quel contexte est né le mouvement Pop Art ?","Explosion de la culture pop, consommation, médias de masse","Crise économique et rejet de la culture populaire | Volonté de revenir à des représentations religieuses classiques","","Culture graphique","Difficile","4","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-025","Quelle est la période du mouvement Arts & Crafts ?","1880-1910","1850-1880 | 1910-1930","","Culture graphique","Difficile","4","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-026","Quel mouvement succède historiquement à Arts & Crafts ?","Art nouveau","Psychédélisme | Postmodernisme","","Culture graphique","Difficile","4","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-027","Dans quel ordre ces mouvements sont-ils apparus ?","Art nouveau → Modernisme → Bauhaus","Bauhaus → Modernisme → Art nouveau | Art nouveau → Bauhaus → Modernisme","","Culture graphique","Difficile","4","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-028","Avec quel mouvement Max Bill est-il associé ?","Style international","Futurisme | Bauhaus","","Culture graphique","Difficile","4","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
"SOCLE-QUIZ-029","Qu’est-ce que le « graphisme d’auteur » ?","Un style de graphisme personnel et identifiable","Un style de graphisme spécialisé dans le cinéma | Un style de graphisme destiné aux écrivains","","Culture graphique","Difficile","4","Quiz","Aucun","validated","socle | quiz","Socle","","","false","1","2026-06-07T00:00:00.000Z","2026-06-07T00:00:00.000Z"
